Nº INSCRIPCIÓN,DENOMINACIÓN SOCIAL,PROVINCIA,LOCALIDAD,CP,CLASE O GRADO,FECHA INSCRIPCIÓN
EXT-698,"SAN ANTON DE BROZAS, S. COOP. LTDA.",CACERES,BROZAS,10950,Sociedades Cooperativas Agroalimentarias,01/10/1982
EXT-409,SOCIEDAD COOPERATIVA SAN ISIDRO DE BROZAS,CACERES,BROZAS,10950,Sociedades Cooperativas Agroalimentarias,14/10/1971
EXT-929,SAN LORENZO S. COOP. LTDA.,CACERES,CABEZABELLOSA,10729,Sociedades Cooperativas Agroalimentarias,25/04/1978
EXT-668,SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE PEÑAS ALBAS,CACERES,CABEZUELA DEL VALLE,10610,Sociedades Cooperativas Agroalimentarias,11/04/1962
EXT-065,SOCIEDAD COOPERATIVA LIMITADA SAN MIGUEL,CACERES,CABRERO,10616,Sociedades Cooperativas Agroalimentarias,24/03/1964
SMT-918,"ADUCA, SOCIEDAD COOPERATIVA LIMITADA",CACERES,CACERES,10002,Sociedades Cooperativas de Consumidores y Usuarios,10/04/1986
EXT-988,"AGUEDA CENTRO DE FORMACIÓN, S. COOP.",CACERES,CACERES,10001,Sociedades Cooperativas de Trabajo Asociado,25/09/1995
EXT-276,AUTOESCUELA FLEMING SOCIEDAD COOPERATIVA LIMITADA,CACERES,CACERES,10002,Sociedades Cooperativas de Trabajo Asociado,14/05/1984
10-CC-361,"COEMEX, SOCIEDAD COOPERATIVA",CACERES,CACERES,10002,Sociedades Cooperativas de Trabajo Asociado,27/09/1991
10-CC-358,"COEMFARVI, S. COOP",CACERES,CACERES,10002,Sociedades Cooperativas de Viviendas,03/09/1991
