Num. Registro,Provincia,exp_fecapertura,exp_fecestado,Nombre establecimiento,Municipio,C. Postal,Web
OA-CC-00064,Cáceres,29/11/2013,29/11/2013,PHOTO RAPTORS,MEMBRIO,10580,No
OA-CC-00068,Cáceres,17/02/2014,17/02/2014,SPAINBIRDS,MEMBRIO,10580,No
OA-CC-00132,Cáceres,21/06/2017,21/06/2017,PANTHOS DEPORTE Y OCIO INCLUSIVO,MORALEJA,10840,Si
OA-CC-00022,Cáceres,03/10/2012,03/10/2012,"VICTORINO MARTIN, TURISMO TAURINO",MORALEJA,10840,Si
OA-CC-00013,Cáceres,10/01/2008,10/01/2008,VALLEAVENTURA. SERVICIOS TURISTICOS,NAVACONCEJO,10613,Si
OA-CC-00014,Cáceres,20/07/2005,20/07/2005,CENTRO ECUESTRE EL PASIL,NAVALMORAL DE LA MATA,10300,Si
OA-CC-00121,Cáceres,29/03/2016,29/03/2016,TRAS LA HUELLA HURDANA,NUÑOMORAL,10623,Si
OA-CC-00141,Cáceres,06/06/2018,06/06/2018,DEHESANDO,OLIVA DE PLASENCIA,10667,Si
OA-CC-00118,Cáceres,21/01/2016,21/01/2016,JOSEFITA Y AMANCIO ERIA DE NARGUA,PEDROSO DE ACIM,10829,Si
OA-CC-00136,Cáceres,13/11/2017,13/11/2017,CERRO CINCHO AREA,PERALEDA DE LA MATA,10335,Si
OA-CC-00145,Cáceres,17/01/2019,17/04/2019,VIVENCIA DEHESA,PERALEDA DE LA MATA,10335,No
OA-CC-00095,Cáceres,24/02/2015,24/02/2015,RAMAJAL RURAL,PINOFRANQUEADO,10630,No
OA-CC-00137,Cáceres,15/11/2017,15/11/2017,GECKO TURISMO ACTIVO Y FORMACIÓN,PIORNAL,10615,No
OA-CC-00031,Cáceres,07/05/2013,07/05/2013,BIRDING HOLIDAYS IN EXTREMADURA,PLASENCIA,10600,No
OA-CC-00094,Cáceres,20/02/2015,20/02/2015,BIRDING NATURALEZA,PLASENCIA,10600,Si
OA-CC-00086,Cáceres,11/11/2014,11/11/2014,CLUB DE BUCEADORES DE LA ESCUELA ESPAÑOLA DE ACTIVIDADES SUBACUATICAS,PLASENCIA,10600,No
OA-CC-00178,Cáceres,10/02/2022,10/02/2022,GORRION ECOTURISMO,PLASENCIA,10600,No
OA-CC-00188,Cáceres,22/06/2022,22/06/2022,GR 100 PLASENCIA,PLASENCIA,10600,No
OA-CC-00168,Cáceres,13/07/2020,13/07/2020,IBS MOTO EXPERIENCE ( I BIKE SPAIN),PLASENCIA,10600,No
OA-CC-00047,Cáceres,07/07/2009,07/07/2009,MONFRAGUE NATURAL,PLASENCIA,10600,Si
OA-CC-00065,Cáceres,03/12/2013,03/12/2013,OESTE NATURA,PLASENCIA,10600,No
OA-CC-00166,Cáceres,22/06/2020,22/06/2020,VIENDO VERDE,PLASENCIA,10600,No
OA-CC-00190,Cáceres,28/11/2022,28/11/2022,ASTROGATA,ROBLEDILLO DE GATA,10867,No
OA-CC-00197,Cáceres,28/04/2023,28/04/2023,WILDEXT,SANTIAGO DEL CAMPO,10591,Si
OA-CC-00183,Cáceres,28/04/2022,28/04/2022,TALAVÁN EN BURRO,TALAVAN,10193,No
OA-CC-00050,Cáceres,29/07/2009,29/07/2009,EL QUINTO PINO,TALAYUELA,10310,Si
OA-CC-00007,Cáceres,04/12/2007,04/12/2007,VALLE DEL JERTE PARQUE AVENTURA,TORNO (EL),10617,Si
OA-CC-00131,Cáceres,08/06/2017,08/06/2017,ASTROEXPERIENCIAS MONFRAGÜE,TORREJON EL RUBIO,10694,Si
OA-CC-00077,Cáceres,02/07/2014,02/07/2014,EXTREMADURA WILDLIFE,TORREJON EL RUBIO,10694,Si
OA-CC-00173,Cáceres,04/08/2021,04/08/2021,HIDE LA CAÑADA,TORREJON EL RUBIO,10694,No
OA-CC-00162,Cáceres,10/02/2020,10/02/2020,PEGEA: CULTURA-TURISMO-EVENTOS,TORREJON EL RUBIO,10694,No
OA-CC-00142,Cáceres,19/06/2018,19/06/2018,VERDEHESA,TORREJON EL RUBIO,10694,Si
OA-CC-00158,Cáceres,28/10/2019,28/10/2019,ADALBERTI EXTREMADURA,TRUJILLO,10200,Si
OA-CC-00181,Cáceres,28/03/2022,28/03/2022,ENOTURISMO TRUJILLO,TRUJILLO,10200,Si
OA-CC-00205,Cáceres,15/09/2023,15/09/2023,HABLA,TRUJILLO,10200,No
